Item,AssemblyQty,References,FitStatus,Value,Description,Manufacturer,ManufacturerPartNumber,KiCadFootprint,ControlledRequirements,Datasheet
1,1,U1,FITTED,NE555P,Bipolar 555 timer; PDIP-8,Texas Instruments,NE555P,Package_DIP:DIP-8_W7.62mm,"PDIP-8; 7.62 mm row pitch; 4.5 V to 16 V supply; commercial temperature grade",https://www.ti.com/lit/ds/symlink/ne555.pdf
2,1,RV1,FITTED,100 kOhm,Single-turn top-adjust sealed cermet trimmer,Bourns,3386P-1-104LF,Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical,"100 kOhm; +/-10%; 0.5 W at 85 degC; 3386P pin geometry",https://www.bourns.com/docs/product-datasheets/3386.pdf
3,2,"R1 R2",FITTED,10 kOhm,Axial metal-film resistor,YAGEO,MFR-25FBF52-10K,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,"10 kOhm; +/-1%; >=0.25 W; body <=6.3 x 2.5 mm; lead diameter <=0.6 mm",https://www.yageogroup.com/component-documentation/download/specsheet/MFR-25FBF52-10K
4,1,R3,FITTED,330 Ohm,Axial metal-film LED current-limiting resistor,YAGEO,MFR-25FBF52-330R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,"330 Ohm; +/-1%; >=0.25 W; body <=6.3 x 2.5 mm; lead diameter <=0.6 mm",https://www.yageogroup.com/component-documentation/download/specsheet/MFR-25FBF52-330R
5,1,C1,FITTED,10 uF,Radial aluminium electrolytic capacitor,Panasonic Industry,ECEA1VKA100,Capacitor_THT:CP_Radial_D5.0mm_P2.00mm,"10 uF; +/-20%; 35 VDC; 5.0 mm diameter; 2.0 mm lead pitch; observe polarity",https://industrial.panasonic.com/ww/products/pt/aluminum-cap-lead/models/ECEA1VKA100
6,1,C2,FITTED,10 nF,Radial dipped multilayer ceramic capacitor,Vishay BCcomponents,K103K10X7RF53H5,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,"10 nF; +/-10%; X7R; 50 VDC; 5.0 mm lead pitch; body 3.6 x 2.3 mm",https://www.vishay.com/docs/45171/kseries.pdf
7,1,C3,FITTED,100 nF,Radial dipped multilayer ceramic decoupling capacitor,Vishay BCcomponents,K104K10X7RF53H5,Capacitor_THT:C_Disc_D5.0mm_W2.5mm_P5.00mm,"100 nF; +/-10%; X7R; 50 VDC; 5.0 mm lead pitch; body 3.6 x 2.3 mm",https://www.vishay.com/docs/45171/kseries.pdf
8,1,D1,FITTED,red LED,Low-current red diffused 5 mm LED,Kingbright,L-53LID,LED_THT:LED_D5.0mm,"Red; low-current type specified at 2 mA; 5 mm T-1 3/4; 2.54 mm lead pitch; observe polarity",https://www.kingbrightusa.com/images/catalog/SPEC/W53LID.pdf
9,1,J1,FITTED,+5 V / GND power input,Two-position horizontal terminal block; blue; slotted screw,Same Sky (formerly CUI Devices),TB007-508-02BE,TerminalBlock_CUI:TerminalBlock_CUI_TB007-508-02_1x02_P5.08mm_Horizontal,"2 positions; 5.08 mm pitch; horizontal wire entry; pin 1 +5 V; pin 2 GND",https://www.sameskydevices.com/product/resource/tb007-508.pdf
10,0,"TP1 TP2 TP3 TP4",PCB_FEATURE,"+5 V; GND; VOUT; VCAP",Bare plated test pads; no fitted hardware,,,TestPoint:TestPoint_THTPad_D2.0mm_Drill1.0mm,"Finished plated hole 1.0 mm; pad diameter 2.0 mm; keep unobstructed after assembly",
