time;V(/VCAP);V(/VOUT);
0;1.85418;2.66699;
1e-06;1.85418;2.66699;
2e-06;1.85418;2.66699;
4e-06;1.85418;2.66699;
8e-06;1.85418;2.66699;
1.6e-05;1.85418;2.66699;
3.2e-05;1.85418;2.66699;
6.4e-05;1.85418;2.66699;
0.000128;1.85418;2.66699;
0.000228;1.85418;2.66699;
0.000328;1.85418;2.66699;
0.000428;1.85418;2.66699;
0.000528;1.85418;2.66699;
0.000628;1.85418;2.66699;
0.000728;1.85418;2.66699;
0.000828;1.85418;2.66699;
0.000928;1.85418;2.66699;
0.001028;1.85418;2.66699;
0.001128;1.85418;2.66699;
0.001228;1.85418;2.66699;
0.001328;1.85418;2.66699;
0.001428;1.85418;2.66699;
0.001528;1.85418;2.66699;
0.001628;1.85418;2.66699;
0.001728;1.85418;2.66699;
0.001828;1.85418;2.66699;
0.001928;1.85418;2.66699;
0.002028;1.85418;2.66699;
0.002128;1.85418;2.66699;
0.002228;1.85418;2.66699;
0.002328;1.85418;2.66699;
0.002428;1.85418;2.66699;
0.002528;1.85418;2.66698;
0.002628;1.85418;2.66698;
0.002728;1.85418;2.66698;
0.002828;1.85418;2.66698;
0.002928;1.85418;2.66697;
0.003028;1.85418;2.66696;
0.003128;1.85418;2.66695;
0.003228;1.85418;2.66693;
0.003328;1.85418;2.6669;
0.003428;1.85418;2.66686;
0.003528;1.85418;2.66679;
0.003628;1.85418;2.66668;
0.003728;1.85418;2.66651;
0.003828;1.85417;2.66625;
0.003928;1.85417;2.66584;
0.004028;1.85416;2.6652;
0.004128;1.85415;2.6642;
0.004228;1.85413;2.66262;
0.004328;1.85411;2.66009;
0.004428;1.85406;2.65595;
0.004528;1.85399;2.64895;
0.004628;1.85386;2.63632;
0.004728;1.85364;2.6066;
0.00480106;1.85342;2.52146;
0.00486884;1.85322;2.43087;
0.00496003;1.85295;2.29748;
0.00506003;1.85265;2.1348;
0.00516003;1.85234;1.95527;
0.00526003;1.85204;1.75586;
0.00536003;1.85173;1.5316;
0.00546003;1.85143;1.28342;
0.00556003;1.85112;1.01573;
0.00566003;1.85082;0.727454;
0.00576003;1.85051;0.419147;
0.00577253;1.85048;0.379035;
0.00579753;1.8504;0.298008;
0.00582093;1.85033;0.00813347;
0.0058378;1.85028;0.00801186;
0.00585352;1.85023;0.00791375;
0.0058735;1.85017;0.00786686;
0.00591346;1.85005;0.00776094;
0.00599339;1.8498;0.00769572;
0.00609339;1.8495;0.00762357;
0.00619339;1.84919;0.0076278;
0.00620589;1.84915;0.00761847;
0.00623089;1.84908;0.0076253;
0.00623167;1.84907;0.00764511;
0.0062317;1.84907;0.00764432;
0.00623175;1.84907;0.00764372;
0.00623185;1.84907;0.00764088;
0.00623187;1.84907;0.00763919;
0.00623192;1.84907;0.00763475;
0.00623202;1.84907;0.0076073;
0.00623204;1.84907;0.00758737;
