time;V(/VCAP);V(/VOUT);
0;1.85418;2.66701;
1e-06;1.85418;2.66702;
2e-06;1.85418;2.66702;
4e-06;1.85418;2.66701;
8e-06;1.85418;2.66701;
1.6e-05;1.85418;2.66701;
3.2e-05;1.85418;2.66701;
6.4e-05;1.85418;2.66701;
0.000128;1.85418;2.667;
0.000228;1.85418;2.66688;
0.000328;1.85417;2.66603;
0.000428;1.85409;2.65824;
0.000528;1.85312;2.45308;
0.000601641;1.85179;1.62417;
0.000669766;1.85054;0.484926;
0.000670744;1.85053;0.00760216;
0.000672698;1.85049;0.00772906;
0.000673719;1.85047;0.00760432;
0.000674708;1.85045;0.00772639;
0.000676463;1.85042;0.00760229;
0.000678225;1.85039;0.00772557;
0.000679729;1.85036;0.00759758;
0.000680575;1.85034;0.00772591;
0.000681228;1.85033;0.00760479;
0.000681747;1.85032;0.00771317;
0.00068224;1.85031;0.00762307;
0.000682582;1.85031;0.00769642;
0.000682825;1.8503;0.00762399;
0.000683115;1.8503;0.00769908;
0.000683331;1.85029;0.00763986;
0.000683599;1.85029;0.00768069;
0.000683779;1.85029;0.00763675;
0.00068402;1.85028;0.00768449;
0.000684271;1.85028;0.00765063;
0.000684528;1.85027;0.00767442;
0.0006848;1.85027;0.00764363;
0.000685061;1.85026;0.00767838;
0.000685323;1.85026;0.00765514;
0.000685636;1.85025;0.00766907;
0.000685924;1.85025;0.00764937;
0.000686189;1.85024;0.00767498;
0.000686447;1.85024;0.00765753;
0.000686739;1.85023;0.00766461;
0.000686958;1.85023;0.00765336;
0.000687231;1.85022;0.00767092;
0.000687479;1.85022;0.0076608;
0.000687768;1.85021;0.0076616;
0.000687997;1.85021;0.00765649;
0.000688276;1.8502;0.0076677;
0.000688534;1.8502;0.00766304;
0.000688833;1.85019;0.00765878;
0.000689066;1.85019;0.00765952;
0.000689354;1.85018;0.00766505;
0.000689605;1.85018;0.00766491;
0.000689912;1.85017;0.00765602;
0.000690144;1.85017;0.00766245;
0.000690434;1.85016;0.00766247;
0.000690678;1.85016;0.00766672;
0.000690989;1.85015;0.00765339;
0.000691244;1.85015;0.00766562;
0.000691524;1.85014;0.00765989;
0.000691776;1.85014;0.00766817;
0.000692081;1.85013;0.00765059;
0.000692354;1.85013;0.00766908;
0.000692631;1.85012;0.00765707;
0.000692903;1.85012;0.00766939;
0.000693209;1.85011;0.00764765;
0.000693495;1.85011;0.00767316;
0.000693791;1.8501;0.00765357;
0.000694121;1.8501;0.00766977;
0.000694456;1.85009;0.0076464;
0.000694798;1.85008;0.0076772;
0.000695104;1.85008;0.0076489;
0.000695452;1.85007;0.0076688;
0.000695727;1.85007;0.00764935;
0.000696031;1.85006;0.0076766;
0.000696327;1.85006;0.00764677;
0.000696644;1.85005;0.00766792;
0.000696971;1.85004;0.00765313;
0.000697296;1.85004;0.00767336;
0.000697652;1.85003;0.00764366;
0.000697913;1.85003;0.00767069;
0.000698214;1.85002;0.00765358;
0.000698458;1.85002;0.00767267;
0.000698757;1.85001;0.00764095;
0.000699021;1.85001;0.00767324;
0.000699264;1.85;0.00765228;
0.000699487;1.85;0.00767444;
0.000699756;1.84999;0.00763917;
0.000699983;1.84999;0.00766934;
0.000700215;1.84998;0.00765389;
0.000700418;1.84998;0.00767511;
0.000700695;1.84998;0.00764326;
0.000700912;1.84997;0.00765778;
0.00070114;1.84997;0.00765721;
0.000701368;1.84996;0.00767297;
0.000701578;1.84996;0.00765174;
0.000701807;1.84996;0.00765254;
0.000701956;1.84995;0.00761863;
0.000702173;1.84995;0.00769669;
0.000702378;1.84994;0.00763962;
0.000702549;1.84994;0.00768906;
0.000702741;1.84994;0.00761581;
0.000702789;1.84994;0.00762241;
0.000702801;1.84994;0.00761363;
0.000702825;1.84994;0.00759089;
0.000702873;1.84994;0.00745197;
0.000702916;1.84994;0.403912;
0.000702949;1.84994;2.49018;
0.00070298;1.84994;3.45784;
0.000703003;1.84994;3.39217;
0.000703019;1.84994;3.49703;
0.000703033;1.84994;3.53426;
0.000703047;1.84994;3.55499;
0.000703061;1.84994;3.58032;
0.000703076;1.84994;3.5858;
0.000703095;1.84994;3.60222;
0.000703117;1.84994;3.60258;
0.000703144;1.84994;3.61259;
0.000703176;1.84994;3.60947;
0.000703216;1.84994;3.61566;
0.000703268;1.84994;3.61113;
0.000703344;1.84994;3.61599;
0.000703457;1.84994;3.61132;
0.000703637;1.84995;3.61593;
0.000703921;1.84995;3.61136;
0.000704439;1.84996;3.61591;
0.000705198;1.84997;3.61137;
0.000706714;1.84999;3.61586;
0.000709747;1.85004;3.61139;
0.000715813;1.85014;3.61585;
0.000727945;1.85033;3.61135;
0.000752208;1.85071;3.61585;
0.000800736;1.85147;3.61135;
0.00089779;1.853;3.61585;
0.00099779;1.85458;3.61135;
0.00109779;1.85615;3.61585;
0.00119779;1.85772;3.61135;
0.00129779;1.85929;3.61585;
0.00139779;1.86086;3.61135;
0.00149779;1.86243;3.61585;
0.00159779;1.864;3.61135;
0.00169779;1.86557;3.61585;
0.00179779;1.86713;3.61135;
0.00189779;1.8687;3.61585;
0.00199779;1.87026;3.61135;
0.00209779;1.87183;3.61585;
0.00219779;1.87339;3.61135;
0.00229779;1.87496;3.61585;
0.00239779;1.87652;3.61135;
0.00249779;1.87808;3.61585;
0.00259779;1.87964;3.61135;
0.00269779;1.8812;3.61585;
0.00279779;1.88276;3.61135;
0.00289779;1.88432;3.61585;
0.00299779;1.88587;3.61135;
0.00309779;1.88743;3.61585;
0.00319779;1.88899;3.61135;
0.00329779;1.89054;3.61589;
0.00339779;1.8921;3.61135;
0.00349779;1.89365;3.61589;
0.00359779;1.8952;3.61139;
0.00369779;1.89675;3.61589;
0.00379779;1.89831;3.61139;
0.00389779;1.89986;3.61585;
0.00399779;1.90141;3.61135;
0.00409779;1.90296;3.61585;
0.00419779;1.9045;3.61135;
0.00429779;1.90605;3.61585;
0.00439779;1.9076;3.61135;
0.00449779;1.90914;3.61585;
0.00459779;1.91069;3.61135;
0.00469779;1.91223;3.61585;
0.00479779;1.91378;3.61135;
0.00489779;1.91532;3.61585;
0.00499779;1.91686;3.61135;
0.00509779;1.9184;3.61585;
0.00519779;1.91994;3.61135;
0.00529779;1.92148;3.61585;
0.00539779;1.92302;3.61135;
0.00549779;1.92456;3.61585;
0.00559779;1.9261;3.61135;
0.00569779;1.92763;3.61585;
0.00579779;1.92917;3.61135;
0.00589779;1.9307;3.61585;
0.00599779;1.93224;3.61135;
0.00609779;1.93377;3.61585;
0.00619779;1.9353;3.61135;
0.00629779;1.93684;3.61585;
0.00639779;1.93837;3.61135;
0.00649779;1.9399;3.61585;
0.00659779;1.94143;3.61135;
0.00669779;1.94296;3.61585;
0.00679779;1.94448;3.61135;
0.00689779;1.94601;3.61585;
0.00699779;1.94754;3.61135;
0.00709779;1.94906;3.61585;
0.00719779;1.95059;3.61135;
0.00729779;1.95211;3.61585;
0.00739779;1.95364;3.61135;
0.00749779;1.95516;3.61585;
0.00759779;1.95668;3.61135;
0.00769779;1.9582;3.61585;
0.00779779;1.95972;3.61135;
0.00789779;1.96124;3.61585;
0.00799779;1.96276;3.61135;
0.00809779;1.96428;3.61585;
0.00819779;1.9658;3.61135;
0.00829779;1.96731;3.61585;
0.00839779;1.96883;3.61135;
0.00849779;1.97035;3.61584;
0.00859779;1.97186;3.61135;
0.00869779;1.97337;3.61584;
0.00879779;1.97489;3.61135;
0.00889779;1.9764;3.61584;
0.00899779;1.97791;3.61135;
0.00909779;1.97942;3.61584;
0.00919779;1.98093;3.61135;
0.00929779;1.98244;3.61584;
0.00939779;1.98395;3.61135;
0.00949779;1.98546;3.61584;
0.00959779;1.98696;3.61135;
0.00969779;1.98847;3.61584;
0.00979779;1.98997;3.61135;
0.00989779;1.99148;3.61584;
0.00999779;1.99298;3.61135;
0.0100978;1.99449;3.61584;
0.0101978;1.99599;3.61135;
0.0102978;1.99749;3.61584;
0.0103978;1.99899;3.61135;
0.0104978;2.00049;3.61584;
0.0105978;2.00199;3.61135;
0.0106978;2.00349;3.61584;
0.0107978;2.00499;3.61135;
0.0108978;2.00648;3.61584;
0.0109978;2.00798;3.61135;
0.0110978;2.00947;3.61584;
0.0111978;2.01097;3.61135;
0.0112978;2.01246;3.61584;
0.0113978;2.01396;3.61135;
0.0114978;2.01545;3.61584;
0.0115978;2.01694;3.61135;
0.0116978;2.01843;3.61584;
0.0117978;2.01992;3.61135;
0.0118978;2.02141;3.61584;
0.0119978;2.0229;3.61135;
0.0120978;2.02439;3.61584;
0.0121978;2.02588;3.61135;
0.0122978;2.02736;3.61584;
0.0123978;2.02885;3.61135;
0.0124978;2.03033;3.61584;
0.0125978;2.03182;3.61135;
0.0126978;2.0333;3.61584;
0.0127978;2.03479;3.61135;
0.0128978;2.03627;3.61584;
0.0129978;2.03775;3.61135;
0.0130978;2.03923;3.61584;
0.0131978;2.04071;3.61135;
0.0132978;2.04219;3.61584;
0.0133978;2.04367;3.61135;
0.0134978;2.04514;3.61584;
0.0135978;2.04662;3.61135;
0.0136978;2.0481;3.61584;
0.0137978;2.04957;3.61135;
0.0138978;2.05105;3.61584;
0.0139978;2.05252;3.61135;
0.0140978;2.054;3.61584;
0.0141978;2.05547;3.61135;
0.0142978;2.05694;3.61584;
0.0143978;2.05841;3.61135;
0.0144978;2.05988;3.61584;
0.0145978;2.06135;3.61135;
0.0146978;2.06282;3.61584;
0.0147978;2.06429;3.61135;
0.0148978;2.06576;3.61584;
0.0149978;2.06722;3.61135;
0.0150978;2.06869;3.61584;
0.0151978;2.07015;3.61135;
0.0152978;2.07162;3.61584;
0.0153978;2.07308;3.61135;
0.0154978;2.07454;3.61584;
0.0155978;2.07601;3.61135;
0.0156978;2.07747;3.61584;
0.0157978;2.07893;3.61135;
0.0158978;2.08039;3.61584;
0.0159978;2.08185;3.61135;
0.0160978;2.08331;3.61584;
0.0161978;2.08477;3.61135;
0.0162978;2.08622;3.61584;
0.0163978;2.08768;3.61135;
0.0164978;2.08913;3.61584;
0.0165978;2.09059;3.61135;
0.0166978;2.09204;3.61584;
0.0167978;2.0935;3.61135;
0.0168978;2.09495;3.61584;
0.0169978;2.0964;3.61135;
0.0170978;2.09785;3.61584;
0.0171978;2.0993;3.61135;
0.0172978;2.10075;3.61584;
0.0173978;2.1022;3.61135;
0.0174978;2.10365;3.61584;
0.0175978;2.1051;3.61135;
0.0176978;2.10655;3.61584;
0.0177978;2.10799;3.61135;
0.0178978;2.10944;3.61584;
0.0179978;2.11088;3.61135;
0.0180978;2.11233;3.61584;
0.0181978;2.11377;3.61135;
0.0182978;2.11521;3.61584;
0.0183978;2.11666;3.61135;
0.0184978;2.1181;3.61584;
0.0185978;2.11954;3.61135;
0.0186978;2.12098;3.61584;
0.0187978;2.12242;3.61135;
0.0188978;2.12385;3.61584;
0.0189978;2.12529;3.61135;
0.0190978;2.12673;3.61584;
0.0191978;2.12817;3.61135;
0.0192978;2.1296;3.61584;
0.0193978;2.13104;3.61135;
0.0194978;2.13247;3.61584;
0.0195978;2.1339;3.61135;
0.0196978;2.13534;3.61584;
