time;V(/VCAP);V(/VOUT);
0;1.85418;2.66696;
1e-06;1.85418;2.66696;
2e-06;1.85418;2.66696;
4e-06;1.85418;2.66696;
8e-06;1.85418;2.66696;
1.6e-05;1.85418;2.66696;
3.2e-05;1.85418;2.66696;
6.4e-05;1.85418;2.66696;
0.000128;1.85418;2.66696;
0.000228;1.85418;2.66696;
0.000328;1.85418;2.66696;
0.000428;1.85418;2.66696;
0.000528;1.85418;2.66696;
0.000628;1.85418;2.66696;
0.000728;1.85418;2.66696;
0.000828;1.85418;2.66696;
0.000928;1.85418;2.66696;
0.001028;1.85418;2.66696;
0.001128;1.85418;2.66696;
0.001228;1.85418;2.66696;
0.001328;1.85418;2.66696;
0.001428;1.85418;2.66696;
0.001528;1.85418;2.66696;
0.001628;1.85418;2.66696;
0.001728;1.85418;2.66696;
0.001828;1.85418;2.66696;
0.001928;1.85418;2.66696;
0.002028;1.85418;2.66696;
0.002128;1.85418;2.66696;
0.002228;1.85418;2.66696;
0.002328;1.85418;2.66696;
0.002428;1.85418;2.66696;
0.002528;1.85418;2.66696;
0.002628;1.85418;2.66696;
0.002728;1.85418;2.66696;
0.002828;1.85418;2.66696;
0.002928;1.85418;2.66696;
0.003028;1.85418;2.66696;
0.003128;1.85418;2.66696;
0.003228;1.85418;2.66696;
0.003328;1.85418;2.66696;
0.003428;1.85418;2.66696;
0.003528;1.85418;2.66696;
0.003628;1.85418;2.66696;
0.003728;1.85418;2.66696;
0.003828;1.85418;2.66696;
0.003928;1.85418;2.66696;
0.004028;1.85418;2.66696;
0.004128;1.85418;2.66696;
0.004228;1.85418;2.66696;
0.004328;1.85418;2.66696;
0.004428;1.85418;2.66696;
0.004528;1.85418;2.66697;
0.004628;1.85418;2.66697;
0.004728;1.85418;2.66697;
0.004828;1.85418;2.66697;
0.004928;1.85418;2.66697;
0.005028;1.85418;2.66698;
0.005128;1.85418;2.66698;
0.005228;1.85418;2.66699;
0.005328;1.85418;2.66699;
0.005428;1.85418;2.667;
0.005528;1.85418;2.66701;
0.005628;1.85418;2.66703;
0.005728;1.85418;2.66705;
0.005828;1.85418;2.66707;
0.005928;1.85418;2.6671;
0.006028;1.85418;2.66714;
0.006128;1.85418;2.66719;
0.006228;1.85419;2.66726;
0.006328;1.85419;2.66734;
0.006428;1.85419;2.66745;
0.006528;1.85419;2.66759;
0.006628;1.85419;2.66776;
0.006728;1.85419;2.66799;
0.006828;1.8542;2.66828;
0.006928;1.8542;2.66865;
0.007028;1.85421;2.66913;
0.007128;1.85421;2.66974;
0.007228;1.85422;2.67051;
0.007328;1.85423;2.67148;
0.007428;1.85425;2.67271;
0.007528;1.85427;2.67426;
0.007628;1.85429;2.67619;
0.007728;1.85432;2.67858;
0.007828;1.85436;2.68152;
0.007928;1.8544;2.68508;
0.008028;1.85446;2.68936;
0.008128;1.85452;2.6944;
