time;I(D1);P(R3);V(/VOUT);V(Net-_D1-K_);
0;0.00248708;0.00204123;2.66699;0.820735;
1e-06;0.00248708;0.00204123;2.66699;0.820735;
2e-06;0.00248708;0.00204123;2.66699;0.820735;
4e-06;0.00248708;0.00204123;2.66699;0.820735;
8e-06;0.00248708;0.00204123;2.66699;0.820735;
1.6e-05;0.00248708;0.00204123;2.66699;0.820735;
3.2e-05;0.00248708;0.00204123;2.66699;0.820735;
6.4e-05;0.00248708;0.00204123;2.66699;0.820735;
0.000128;0.00248708;0.00204123;2.66699;0.820735;
0.000228;0.00248708;0.00204123;2.66699;0.820735;
0.000328;0.00248708;0.00204123;2.66699;0.820735;
0.000428;0.00248708;0.00204123;2.66699;0.820735;
0.000528;0.00248708;0.00204123;2.66699;0.820735;
0.000628;0.00248708;0.00204123;2.66699;0.820735;
0.000728;0.00248708;0.00204123;2.66699;0.820735;
0.000828;0.00248708;0.00204123;2.66699;0.820735;
0.000928;0.00248708;0.00204123;2.66699;0.820735;
0.001028;0.00248708;0.00204123;2.66699;0.820735;
0.001128;0.00248708;0.00204123;2.66699;0.820735;
0.001228;0.00248708;0.00204123;2.66699;0.820735;
0.001328;0.00248708;0.00204123;2.66699;0.820735;
0.001428;0.00248708;0.00204123;2.66699;0.820735;
0.001528;0.00248708;0.00204123;2.66699;0.820735;
0.001628;0.00248708;0.00204123;2.66699;0.820735;
0.001728;0.00248708;0.00204123;2.66699;0.820735;
0.001828;0.00248708;0.00204123;2.66699;0.820735;
0.001928;0.00248708;0.00204123;2.66699;0.820735;
0.002028;0.00248708;0.00204123;2.66699;0.820735;
0.002128;0.00248708;0.00204123;2.66699;0.820735;
0.002228;0.00248707;0.00204123;2.66699;0.820735;
0.002328;0.00248707;0.00204123;2.66699;0.820734;
0.002428;0.00248707;0.00204122;2.66699;0.820734;
0.002528;0.00248707;0.00204122;2.66698;0.820733;
0.002628;0.00248707;0.00204121;2.66698;0.820732;
0.002728;0.00248706;0.0020412;2.66698;0.82073;
0.002828;0.00248705;0.00204119;2.66698;0.820727;
0.002928;0.00248704;0.00204116;2.66697;0.820722;
0.003028;0.00248701;0.00204113;2.66696;0.820715;
0.003128;0.00248698;0.00204107;2.66695;0.820703;
0.003228;0.00248693;0.00204098;2.66693;0.820686;
0.003328;0.00248684;0.00204085;2.6669;0.820658;
0.003428;0.00248672;0.00204064;2.66686;0.820616;
0.003528;0.00248652;0.00204032;2.66679;0.820551;
0.003628;0.00248621;0.00203981;2.66668;0.82045;
0.003728;0.00248574;0.00203903;2.66651;0.820293;
0.003828;0.002485;0.00203782;2.66625;0.82005;
0.003928;0.00248385;0.00203595;2.66584;0.819672;
0.004028;0.00248206;0.00203301;2.6652;0.819081;
0.004128;0.00247925;0.00202841;2.6642;0.818154;
0.004228;0.00247481;0.00202115;2.66262;0.816688;
0.004328;0.0024677;0.00200955;2.66009;0.814341;
0.004428;0.00245608;0.00199066;2.65595;0.810505;
0.004528;0.00243641;0.00195891;2.64895;0.804015;
0.004628;0.00240098;0.00190236;2.63632;0.792324;
0.004728;0.0023177;0.00177267;2.6066;0.764841;
0.00480106;0.00208025;0.00142805;2.52146;0.686482;
0.00486884;0.00182966;0.00110473;2.43087;0.603788;
0.00496003;0.00146572;0.000708952;2.29748;0.483688;
0.00506003;0.00103399;0.000352817;2.1348;0.341218;
0.00516003;0.000585806;0.000113245;1.95527;0.193316;
0.00526003;0.000176016;1.02041e-05;1.75586;0.0580852;
0.00536003;6.90267e-06;1.57232e-08;1.5316;0.00227788;
0.00546003;5.95246e-08;1.16229e-12;1.28342;1.96431e-05;
0.00556003;3.37897e-10;3.76611e-17;1.01573;1.11506e-07;
0.00566003;1.98015e-12;-7.1915e-16;0.727454;6.5345e-10;
0.00576003;4.22376e-13;-1.21817e-20;0.419147;1.39384e-10;
0.00577253;3.80555e-13;4.7791e-23;0.379035;1.25583e-10;
0.00579753;2.98324e-13;2.9369e-23;0.298008;9.8447e-11;
0.00582093;8.13364e-15;2.18313e-26;0.00813347;2.6841e-12;
0.0058378;8.01203e-15;2.11836e-26;0.00801186;2.64397e-12;
0.00585352;7.91392e-15;2.06679e-26;0.00791375;2.61159e-12;
0.0058735;7.86703e-15;2.04236e-26;0.00786686;2.59612e-12;
0.00591346;7.7611e-15;1.98775e-26;0.00776094;2.56116e-12;
0.00599339;7.69588e-15;1.95447e-26;0.00769572;2.53964e-12;
0.00609339;7.62373e-15;1.918e-26;0.00762357;2.51583e-12;
0.00619339;7.62796e-15;1.92013e-26;0.0076278;2.51723e-12;
0.00620589;7.61863e-15;1.91544e-26;0.00761847;2.51415e-12;
0.00623089;7.62546e-15;1.91887e-26;0.0076253;2.5164e-12;
0.00623167;7.64527e-15;1.92885e-26;0.00764511;2.52294e-12;
0.0062317;7.64448e-15;1.92846e-26;0.00764432;2.52268e-12;
0.00623175;7.64388e-15;1.92815e-26;0.00764372;2.52248e-12;
0.00623185;7.64104e-15;1.92672e-26;0.00764088;2.52154e-12;
0.00623187;7.63935e-15;1.92587e-26;0.00763919;2.52099e-12;
0.00623192;7.63491e-15;1.92363e-26;0.00763475;2.51952e-12;
0.00623202;7.60746e-15;1.90982e-26;0.0076073;2.51046e-12;
0.00623204;7.58753e-15;1.89983e-26;0.00758737;2.50389e-12;
0.00623208;7.46455e-15;1.83874e-26;0.0074644;2.4633e-12;
0.00623212;2.47453e-13;2.0207e-23;0.247335;8.16596e-11;
0.00623214;0.00108411;0.000387846;2.15404;0.357757;
0.00623217;0.00398608;0.00524331;3.19355;1.31541;
0.00623219;0.00415115;0.00568658;3.25095;1.36988;
0.0062322;0.00451629;0.00673096;3.37763;1.49037;
0.00623221;0.00474965;0.00744451;3.45842;1.56738;
0.00623222;0.00486495;0.00781036;3.49828;1.60543;
0.00623224;0.00498736;0.00820834;3.54058;1.64583;
0.00623225;0.00504234;0.00839031;3.55956;1.66397;
0.00623227;0.00512117;0.00865471;3.58677;1.68999;
0.00623229;0.00514478;0.0087347;3.59492;1.69778;
0.00623232;0.00518758;0.00888062;3.60968;1.7119;
0.00623236;0.00518505;0.00887198;3.60881;1.71107;
0.00623241;0.00520471;0.00893936;3.61559;1.71755;
0.00623248;0.00519207;0.008896;3.61123;1.71338;
0.00623258;0.00520578;0.00894306;3.61597;1.71791;
0.00623273;0.00519239;0.00889711;3.61135;1.71349;
0.00623299;0.00520565;0.00894261;3.61592;1.71787;
0.00623336;0.00519248;0.00889741;3.61138;1.71352;
0.0062341;0.00520543;0.00894179;3.61584;1.71779;
0.00623542;0.00519257;0.00889771;3.61141;1.71355;
0.00623806;0.00520538;0.00894163;3.61583;1.71778;
0.00624334;0.00519245;0.00889724;3.61136;1.71351;
0.00625391;0.00520538;0.0089416;3.61582;1.71777;
0.00627503;0.00519245;0.00889724;3.61136;1.71351;
0.00631729;0.00520537;0.0089416;3.61582;1.71777;
0.0064018;0.00519245;0.00889724;3.61136;1.71351;
0.0065018;0.00520537;0.0089416;3.61582;1.71777;
0.0066018;0.00519245;0.00889724;3.61136;1.71351;
0.0067018;0.00520537;0.0089416;3.61582;1.71777;
0.0068018;0.00519245;0.00889724;3.61136;1.71351;
0.0069018;0.00520537;0.0089416;3.61582;1.71777;
0.0070018;0.00519245;0.00889724;3.61136;1.71351;
0.0071018;0.00520537;0.0089416;3.61582;1.71777;
0.0072018;0.00519245;0.00889724;3.61136;1.71351;
0.0073018;0.00520537;0.0089416;3.61582;1.71777;
0.0074018;0.00519245;0.00889724;3.61136;1.71351;
0.0075018;0.00520537;0.0089416;3.61582;1.71777;
0.0076018;0.00519245;0.00889724;3.61136;1.71351;
0.0077018;0.00520537;0.0089416;3.61582;1.71777;
0.0078018;0.00519245;0.00889724;3.61136;1.71351;
0.0079018;0.00520537;0.0089416;3.61582;1.71777;
0.0080018;0.00519245;0.00889724;3.61136;1.71351;
0.0081018;0.00520537;0.0089416;3.61582;1.71777;
0.0082018;0.00519245;0.00889724;3.61136;1.71351;
0.0083018;0.00520537;0.0089416;3.61582;1.71777;
