time;V(/VOUT);V(Net-_D1-K_);
0;2.66699;0.820735;
1e-06;2.66699;0.820735;
2e-06;2.66699;0.820735;
4e-06;2.66699;0.820735;
8e-06;2.66699;0.820735;
1.6e-05;2.66699;0.820735;
3.2e-05;2.66699;0.820735;
6.4e-05;2.66699;0.820735;
0.000128;2.66699;0.820735;
0.000228;2.66699;0.820735;
0.000328;2.66699;0.820735;
0.000428;2.66699;0.820735;
0.000528;2.66699;0.820735;
0.000628;2.66699;0.820735;
0.000728;2.66699;0.820735;
0.000828;2.66699;0.820735;
0.000928;2.66699;0.820735;
0.001028;2.66699;0.820735;
0.001128;2.66699;0.820735;
0.001228;2.66699;0.820735;
0.001328;2.66699;0.820735;
0.001428;2.66699;0.820735;
0.001528;2.66699;0.820735;
0.001628;2.66699;0.820735;
0.001728;2.66699;0.820735;
0.001828;2.66699;0.820735;
0.001928;2.66699;0.820735;
0.002028;2.66699;0.820735;
0.002128;2.66699;0.820735;
0.002228;2.66699;0.820735;
0.002328;2.66699;0.820734;
0.002428;2.66699;0.820734;
0.002528;2.66698;0.820733;
0.002628;2.66698;0.820732;
0.002728;2.66698;0.82073;
0.002828;2.66698;0.820727;
0.002928;2.66697;0.820722;
0.003028;2.66696;0.820715;
0.003128;2.66695;0.820703;
0.003228;2.66693;0.820686;
0.003328;2.6669;0.820658;
0.003428;2.66686;0.820616;
0.003528;2.66679;0.820551;
0.003628;2.66668;0.82045;
0.003728;2.66651;0.820293;
0.003828;2.66625;0.82005;
0.003928;2.66584;0.819672;
0.004028;2.6652;0.819081;
0.004128;2.6642;0.818154;
0.004228;2.66262;0.816688;
0.004328;2.66009;0.814341;
0.004428;2.65595;0.810505;
0.004528;2.64895;0.804015;
0.004628;2.63632;0.792324;
0.004728;2.6066;0.764841;
0.00480106;2.52146;0.686482;
0.00486884;2.43087;0.603788;
0.00496003;2.29748;0.483688;
0.00506003;2.1348;0.341218;
0.00516003;1.95527;0.193316;
0.00526003;1.75586;0.0580852;
0.00536003;1.5316;0.00227788;
0.00546003;1.28342;1.96431e-05;
0.00556003;1.01573;1.11506e-07;
0.00566003;0.727454;6.5345e-10;
0.00576003;0.419147;1.39384e-10;
0.00577253;0.379035;1.25583e-10;
0.00579753;0.298008;9.8447e-11;
0.00582093;0.00813347;2.6841e-12;
0.0058378;0.00801186;2.64397e-12;
0.00585352;0.00791375;2.61159e-12;
0.0058735;0.00786686;2.59612e-12;
0.00591346;0.00776094;2.56116e-12;
0.00599339;0.00769572;2.53964e-12;
0.00609339;0.00762357;2.51583e-12;
0.00619339;0.0076278;2.51723e-12;
0.00620589;0.00761847;2.51415e-12;
0.00623089;0.0076253;2.5164e-12;
0.00623167;0.00764511;2.52294e-12;
0.0062317;0.00764432;2.52268e-12;
0.00623175;0.00764372;2.52248e-12;
0.00623185;0.00764088;2.52154e-12;
0.00623187;0.00763919;2.52099e-12;
0.00623192;0.00763475;2.51952e-12;
0.00623202;0.0076073;2.51046e-12;
0.00623204;0.00758737;2.50389e-12;
0.00623208;0.0074644;2.4633e-12;
0.00623212;0.247335;8.16596e-11;
0.00623214;2.15404;0.357757;
0.00623217;3.19355;1.31541;
0.00623219;3.25095;1.36988;
0.0062322;3.37763;1.49037;
0.00623221;3.45842;1.56738;
0.00623222;3.49828;1.60543;
0.00623224;3.54058;1.64583;
0.00623225;3.55956;1.66397;
0.00623227;3.58677;1.68999;
0.00623229;3.59492;1.69778;
0.00623232;3.60968;1.7119;
0.00623236;3.60881;1.71107;
0.00623241;3.61559;1.71755;
0.00623248;3.61123;1.71338;
0.00623258;3.61597;1.71791;
0.00623273;3.61135;1.71349;
0.00623299;3.61592;1.71787;
