time;P(R3);
0;0.00204123;
1e-06;0.00204123;
2e-06;0.00204123;
4e-06;0.00204123;
8e-06;0.00204123;
1.6e-05;0.00204123;
3.2e-05;0.00204123;
6.4e-05;0.00204123;
0.000128;0.00204123;
0.000228;0.00204123;
0.000328;0.00204123;
0.000428;0.00204123;
0.000528;0.00204123;
0.000628;0.00204123;
0.000728;0.00204123;
0.000828;0.00204123;
0.000928;0.00204123;
0.001028;0.00204123;
0.001128;0.00204123;
0.001228;0.00204123;
0.001328;0.00204123;
0.001428;0.00204123;
0.001528;0.00204123;
0.001628;0.00204123;
0.001728;0.00204123;
0.001828;0.00204123;
0.001928;0.00204123;
0.002028;0.00204123;
0.002128;0.00204123;
0.002228;0.00204123;
0.002328;0.00204123;
0.002428;0.00204122;
0.002528;0.00204122;
0.002628;0.00204121;
0.002728;0.0020412;
0.002828;0.00204119;
0.002928;0.00204116;
0.003028;0.00204113;
0.003128;0.00204107;
0.003228;0.00204098;
0.003328;0.00204085;
0.003428;0.00204064;
0.003528;0.00204032;
0.003628;0.00203981;
0.003728;0.00203903;
0.003828;0.00203782;
0.003928;0.00203595;
0.004028;0.00203301;
0.004128;0.00202841;
0.004228;0.00202115;
0.004328;0.00200955;
0.004428;0.00199066;
0.004528;0.00195891;
0.004628;0.00190236;
0.004728;0.00177267;
0.00480106;0.00142805;
0.00486884;0.00110473;
0.00496003;0.000708952;
0.00506003;0.000352817;
0.00516003;0.000113245;
0.00526003;1.02041e-05;
0.00536003;1.57232e-08;
0.00546003;1.16229e-12;
0.00556003;3.76611e-17;
0.00566003;-7.1915e-16;
0.00576003;-1.21817e-20;
0.00577253;4.7791e-23;
0.00579753;2.9369e-23;
0.00582093;2.18313e-26;
0.0058378;2.11836e-26;
0.00585352;2.06679e-26;
0.0058735;2.04236e-26;
0.00591346;1.98775e-26;
0.00599339;1.95447e-26;
0.00609339;1.918e-26;
0.00619339;1.92013e-26;
0.00620589;1.91544e-26;
0.00623089;1.91887e-26;
0.00623167;1.92885e-26;
0.0062317;1.92846e-26;
0.00623175;1.92815e-26;
0.00623185;1.92672e-26;
0.00623187;1.92587e-26;
0.00623192;1.92363e-26;
0.00623202;1.90982e-26;
0.00623204;1.89983e-26;
0.00623208;1.83874e-26;
0.00623212;2.0207e-23;
0.00623214;0.000387846;
0.00623217;0.00524331;
0.00623219;0.00568658;
0.0062322;0.00673096;
0.00623221;0.00744451;
0.00623222;0.00781036;
0.00623224;0.00820834;
0.00623225;0.00839031;
0.00623227;0.00865471;
0.00623229;0.0087347;
0.00623232;0.00888062;
0.00623236;0.00887198;
0.00623241;0.00893936;
0.00623248;0.008896;
0.00623258;0.00894306;
0.00623273;0.00889711;
0.00623299;0.00894261;
0.00623336;0.00889741;
0.0062341;0.00894179;
0.00623542;0.00889771;
0.00623806;0.00894163;
0.00624334;0.00889724;
0.00625391;0.0089416;
0.00627503;0.00889724;
0.00631729;0.0089416;
0.0064018;0.00889724;
0.0065018;0.0089416;
0.0066018;0.00889724;
0.0067018;0.0089416;
0.0068018;0.00889724;
0.0069018;0.0089416;
0.0070018;0.00889724;
0.0071018;0.0089416;
0.0072018;0.00889724;
0.0073018;0.0089416;
0.0074018;0.00889724;
0.0075018;0.0089416;
0.0076018;0.00889724;
0.0077018;0.0089416;
0.0078018;0.00889724;
0.0079018;0.0089416;
0.0080018;0.00889724;
0.0081018;0.0089416;
0.0082018;0.00889724;
0.0083018;0.0089416;
0.0084018;0.00889724;
0.0085018;0.0089416;
0.0086018;0.00889724;
0.0087018;0.0089416;
0.0088018;0.00889725;
0.0089018;0.0089416;
0.0090018;0.00889725;
0.0091018;0.0089416;
0.0092018;0.00889725;
0.0093018;0.0089416;
0.0094018;0.00889725;
0.0095018;0.0089416;
0.0096018;0.00889725;
0.0097018;0.0089416;
0.0098018;0.00889725;
0.0099018;0.0089416;
0.0100018;0.00889725;
0.0101018;0.0089416;
0.0102018;0.00889725;
0.0103018;0.0089416;
0.0104018;0.00889725;
0.0105018;0.00894159;
0.0106018;0.00889725;
0.0107018;0.00894159;
0.0108018;0.00889725;
0.0109018;0.00894159;
0.0110018;0.00889725;
0.0111018;0.00894159;
0.0112018;0.00889725;
0.0113018;0.00894159;
0.0114018;0.00889725;
0.0115018;0.00894159;
0.0116018;0.00889725;
0.0117018;0.00894159;
0.0118018;0.00889725;
0.0119018;0.00894159;
0.0120018;0.00889725;
0.0121018;0.00894159;
0.0122018;0.00889725;
0.0123018;0.00894159;
0.0124018;0.00889725;
0.0125018;0.00894159;
0.0126018;0.00889725;
